ObjectName,ObjectType,ObjectValue
waitjishi,id,init-jishi
Jishi_image,xpath,//img[@alt='Jishi']
jishi_Next,xpath,//button[@class='continue mb-4']
wait_for_JishiImage,xpath,//div[@class='flying-jishi wow zoomIn ng-star-inserted'] | //div[@class='flying-jishi wow zoomIn']
Jishi_text,xpath,//div[@class='section-info']/p
Jishi_text_Next,xpath,//button[@class= ' shepherd-button']
active_banner,xpath,"//div[contains(@class,'ng-trigger ng-trigger-autoHeight ng-star-inserted active')]/img[@class='img-fluid ng-star-inserted']"
List_banner,xpath,"//div[not(contains(@class,'ng-trigger ng-trigger-autoHeight ng-star-inserted cloned'))]/img[@class='img-fluid ng-star-inserted']"
Jishi_explore_MySelf,xpath,//button[@class='explore-myself']
admin_username,id,mat-input-0
admin_password,id,mat-input-1
admin_login,xpath,//button[@aria-label='LOG IN']
expand_encash,xpath,"//span[contains(text(),'Encash Offers')]"
competitions,xpath,"//span[contains(text(),'Competitions')]"
threedot,angularbuttontext,more_vert
competitions_queue,partialbuttontext,add_to_queue
clientoptions,options,//*[@id='cdk-overlay-2']/div
register,xpath,//button[@type='button'][@title='Register']
mobilenumber,id,mobile-number
continue,xpath,//button[@type='submit']
otp,xpath,//input[@type='text']
loderclass,classname,loader-container
otpcontinue,xpath,//form/div/button[@type='button']
persondetail_title,id,title
persondetail_firstname,id,firstName
personaldetail_lastname,id,lastName
personaldetail_email,id,email
personaldetail_male,id,mat-radio-2
personaldetail_female,id,mat-radio-3
personaldetail_date,id,day
personaldetail_month,id,month
personaldetail_year,id,year
personaldetail_password,id,password
personaldetail_cofirmpassword,id,confirmPassword
personaldetail_displayname,id,display_name
personaldetail_postalcode,id,postalCode
personaldetail_address,id,address
personaldetail_consent,id,customCheck
personaldetail_findadress,xpath,//*[@id='postalCode']/following-sibling::div/button
consent_table,xpath,//div[@class='ExpansionContent ng-star-inserted']
consent_partners,linktext,"partners,"
consent_child,xpath,mat-accordion/mat-expansion-panel/div/div/div
consent_child_type,xpath,div[2]/div/div/div
consent_child_status,xpath,mat-checkbox/label/div/input
accept_consent,xpath,//*[@id='customCheck']/label
consent_cancel,xpath,//button[@class='btn cancel-btn']
personaldetail_continue,xpath,//button[@type='button'][@class='btn btn-success btn-continue mb-3 ladda-button']
skip_email,xpath,//button[@type='button'][@class='btn btn-link skip-btn']
mobile_competitions,xpath,//a[@routerlinkactive='active'][@href='/competitions/all']
navibar,xpath,//a[@class='navbar-toggler']
m_register,xpath,"//div[@class='check-login']/div/button[contains(string(),'Register')]"
competition_search,xpath,//*[@id='product-category-list']/div[1]/div/input
home_page,xpath,//app-home[@class='ng-star-inserted']
search_competation_wait,xpath,//span[@class='featured ng-star-inserted']
competiton_search_result,xpath,//div[@class='col-6 col-md-6 col-lg-4 col-xl-4 mb-4 p-2 ng-star-inserted']
competition_search_data,xpath,app-product-card/div/div[2]/a
lodercontainer,xpath,//*[@class='loader-container ng-star-inserted']
competition_play,xpath,//button[@type='button'][@class='primary-button-small ng-star-inserted']
competition_applynow_accept,xpath,//div[@class='mat-checkbox-inner-container mat-checkbox-inner-container-no-side-margin']
competition_applynow_continue,xpath,//button[@type='submit'][@class='btn btn-success btn-continue mb-3 ladda-button']
mandatorydropdown,id,mat-select-value-1
mandatorydropdownvalue,id,mat-option-2
next,xpath,//button[@type='button'][@class='btn btn-success btn-continue mb-3 ladda-button']
waitnextquestion,xpath,//button[@type='button'][@class='btn btn-success btn-continue mb-3 ladda-button']
answeroption,xpath,//mat-radio-button
competition_single_choice_question,xpath,//fieldset[@class='single-choice-questions ng-star-inserted']/div
competition_single_choice_answer,xpath,//fieldset[@class='single-choice-questions ng-star-inserted']/mat-radio-group/div/mat-radio-button
competition_multiple_choice_question,xpath,//fieldset[@class='multiple-questions ng-star-inserted']/div[1]
competition_multiple_choice_answer,xpath,//fieldset[@class='multiple-questions ng-star-inserted']/div[2]/div
competition_next_question_wait,xpath,//button[@class='btn btn-primary loading-button ng-star-inserted']
competition_next_question,xpath,//button[@class='primary-button-small ng-star-inserted']
